Gene_Name,homologous_superfamily,name
CD101,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
TNFRSF25,['IPR011029'],['Death-like domain superfamily']
CXCL10,['IPR036048'],['Chemokine interleukin-8-like superfamily']
NACAD,['IPR038187'],['NAC A/B domain superfamily']
PF4,['IPR036048'],['Chemokine interleukin-8-like superfamily']
PPBP,['IPR036048'],['Chemokine interleukin-8-like superfamily']
GC,['IPR020858'],['Serum albumin-like']
PHF6,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
PLEKHG3,['IPR035899'],['Dbl homology (DH) domain superfamily']
RPL22L1,,
GAGE2E,,
CDHR3,['IPR015919'],['Cadherin-like superfamily']
HLA-C,['IPR015919'],['Cadherin-like superfamily']
RASSF6,['IPR029071'],['Ubiquitin-like domain superfamily']
GRIPAP1,,
DCAF6,['IPR036322'],['WD40-repeat-containing domain superfamily']
GAGE13,,
ZC3H7A,['IPR036236'],['Zinc finger C2H2 superfamily']
SCUBE3,"['IPR009030', 'IPR035914']","['Growth factor receptor cysteine-rich domain superfamily', 'Spermadhesin, CUB domain superfamily']"
TRIM59,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
ARHGEF10,"['IPR015943', 'IPR035899', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'Dbl homology (DH) domain superfamily', 'WD40-repeat-containing domain superfamily']"
KIF28P,"['IPR008984', 'IPR027417', 'IPR036961']","['SMAD/FHA domain superfamily', 'P-loop containing nucleoside triphosphate hydrolase', 'Kinesin motor domain superfamily']"
HTD2,['IPR029069'],['HotDog domain superfamily']
RNASEK,,
C18orf65,,
KIAA1211,,
CFAP47,"['IPR013783', 'IPR036872']","['Immunoglobulin-like fold', 'CH domain superfamily']"
FAM92B,,
C6orf58,,
SPTBN2,"['IPR011993', 'IPR036872']","['PH-like domain superfamily', 'CH domain superfamily']"
DEFB133,,
SLF2,,
MAST4,"['IPR011009', 'IPR036034']","['Protein kinase-like domain superfamily', 'PDZ superfamily']"
BRSK2,['IPR011009'],['Protein kinase-like domain superfamily']
PEX1,"['IPR009010', 'IPR029067']","['Aspartate decarboxylase-like domain superfamily', 'CDC48 domain 2-like superfamily']"
PRKY,['IPR011009'],['Protein kinase-like domain superfamily']
FBXO16,['IPR036047'],['F-box-like domain superfamily']
MFSD11,['IPR036259'],['MFS transporter superfamily']
DEFB135,,
TRIM66,"['IPR011011', 'IPR036427']","['Zinc finger, FYVE/PHD-type', 'Bromodomain-like superfamily']"
ZNF658B,['IPR036236'],['Zinc finger C2H2 superfamily']
ZNF609,,
ZNF646,['IPR036236'],['Zinc finger C2H2 superfamily']
DEFB136,,
PDZD2,['IPR036034'],['PDZ superfamily']
PLXNB2,"['IPR008936', 'IPR013783', 'IPR014756', 'IPR015943', 'IPR036352']","['Rho GTPase activation protein', 'Immunoglobulin-like fold', 'Immunoglobulin E-set', 'WD40/YVTN repeat-like-containing domain superfamily', 'Sema domain superfamily']"
DEFB109B,"['IPR008936', 'IPR013783', 'IPR014756', 'IPR015943', 'IPR036352']","['Rho GTPase activation protein', 'Immunoglobulin-like fold', 'Immunoglobulin E-set', 'WD40/YVTN repeat-like-containing domain superfamily', 'Sema domain superfamily']"
RIMBP2,"['IPR013783', 'IPR036028', 'IPR036116']","['Immunoglobulin-like fold', 'SH3-like domain superfamily', 'Fibronectin type III superfamily']"
XIRP1,,
AREL1,"['IPR014756', 'IPR035983']","['Immunoglobulin E-set', 'HECT, E3 ligase catalytic domain']"
CCAR1,"['IPR011992', 'IPR012340']","['EF-hand domain pair', 'Nucleic acid-binding, OB-fold']"
HOMEZ,['IPR009057'],['Homeobox-like domain superfamily']
DHX40,,
CCDC28A,,
MCEMP1,,
SEC16A,,
DEFB112,,
UNC50,,
DEFB110,,
LMOD2,['IPR032675'],['Leucine-rich repeat domain superfamily']
CBWD6,,
DEFB114,,
DEFB113,,
DEFB116,,
DEFB115,,
14-Sep,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
ARHGAP12,,
ANKRD63,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
ADHFE1,,
VEGFD,['IPR029034'],['Cystine-knot cytokine']
TYROBP,,
ORC5,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
AIRE,"['IPR010919', 'IPR011011', 'IPR013083']","['SAND-like domain superfamily', 'Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type']"
CHST1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
FOXK1,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
FAM205A,,
BEND4,,
GSTCD,,
LAX1,,
CNTN4,"['IPR013783', 'IPR036116', 'IPR036179']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'Immunoglobulin-like domain superfamily']"
CATSPER1,['IPR027359'],['Voltage-dependent channel domain superfamily']
CEP128,,
TPGS1,,
CDCA8,,
UBR1,,
UBR2,,
EFNA2,['IPR008972'],['Cupredoxin']
NDUFS5,,
UBE2M,['IPR016135'],['Ubiquitin-conjugating enzyme/RWD-like']
PDE6D,"['IPR014756', 'IPR037036']","['Immunoglobulin E-set', 'GMP phosphodiesterase, delta subunit superfamily']"
ARMC3,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
ORC4,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
TENM4,"['IPR008969', 'IPR011042']","['Carboxypeptidase-like, regulatory domain superfamily', 'Six-bladed beta-propeller, TolB-like']"
CXCR4,,
CXCL13,['IPR036048'],['Chemokine interleukin-8-like superfamily']
TET2,,
UBE2D3,['IPR016135'],['Ubiquitin-conjugating enzyme/RWD-like']
SLMAP,['IPR008984'],['SMAD/FHA domain superfamily']
SLC39A4,,
GOLGA8M,,
ACRBP,['IPR036058'],['Kazal domain superfamily']
LMTK2,['IPR011009'],['Protein kinase-like domain superfamily']
PLPP5,,
SLC30A8,"['IPR027469', 'IPR036837']","['Cation efflux transmembrane domain superfamily', 'Cation efflux protein, cytoplasmic domain superfamily']"
SULF2,['IPR017850'],"['Alkaline-phosphatase-like, core domain superfamily']"
SULF1,['IPR017850'],"['Alkaline-phosphatase-like, core domain superfamily']"
KIAA0408,['IPR017850'],"['Alkaline-phosphatase-like, core domain superfamily']"
PIK3C3,"['IPR011009', 'IPR016024', 'IPR035892', 'IPR036940', 'IPR042236']","['Protein kinase-like domain superfamily', 'Armadillo-type fold', 'C2 domain superfamily', 'Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily', 'Phosphoinositide 3-kinase, accessory (PIK) domain superfamily']"
TPH2,"['IPR036329', 'IPR036951']","['Aromatic amino acid monoxygenase, C-terminal domain superfamily', 'Aromatic amino acid hydroxylase superfamily']"
UBE2K,"['IPR009060', 'IPR016135']","['UBA-like superfamily', 'Ubiquitin-conjugating enzyme/RWD-like']"
CHRNA1,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
UBE2N,['IPR016135'],['Ubiquitin-conjugating enzyme/RWD-like']
CFAP161,['IPR016135'],['Ubiquitin-conjugating enzyme/RWD-like']
CLEC20A,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
C4orf51,,
C19orf18,,
GLIS3,,
ZBTB8OS,['IPR036820'],['Archease domain superfamily']
SCN4B,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
FBXO36,['IPR036047'],['F-box-like domain superfamily']
GMCL2,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
UBN2,,
CUL9,"['IPR008979', 'IPR016024']","['Galactose-binding-like domain superfamily', 'Armadillo-type fold']"
CFAP65,['IPR013783'],['Immunoglobulin-like fold']
EP400P1,,
LRRC8A,['IPR032675'],['Leucine-rich repeat domain superfamily']
PRICKLE3,,
VPS13D,['IPR009060'],['UBA-like superfamily']
GAS2,,
KLRC4,,
PRR14L,,
EXTL3,['IPR029044'],['Nucleotide-diphospho-sugar transferases']
USP17L15,['IPR038765'],['Papain-like cysteine peptidase superfamily']
CCDC191,,
C3orf20,,
CCDC197,,
C2CD4A,,
SMIM37,,
FAM173B,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
MMAA,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
BHMG1,"['IPR036638', 'IPR036910']","['Helix-loop-helix DNA-binding domain superfamily', 'High mobility group box domain superfamily']"
FAM196A,,
RNF165,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
MAP4K3,['IPR011009'],['Protein kinase-like domain superfamily']
STX1B,,
HLA-DRB1,,
SLC35E2,,
SLC35E2B,,
WDR73,['IPR015943'],['WD40/YVTN repeat-like-containing domain superfamily']
KIAA0895,,
ARRDC4,"['IPR014752', 'IPR014756']","['Arrestin, C-terminal', 'Immunoglobulin E-set']"
GOLGA8K,"['IPR014752', 'IPR014756']","['Arrestin, C-terminal', 'Immunoglobulin E-set']"
LSM14A,['IPR010920'],['LSM domain superfamily']
FOXP4,['IPR036390'],['Winged helix DNA-binding domain superfamily']
SLC44A5,,
SAMD9L,['IPR013761'],['Sterile alpha motif/pointed domain superfamily']
IGKV6D-21,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
NADSYN1,"['IPR014729', 'IPR036526']","['Rossmann-like alpha/beta/alpha sandwich fold', 'Carbon-nitrogen hydrolase superfamily']"
MT-RNR2,,
NUTM2F,,
ERVK-10,"['IPR008916', 'IPR036875', 'IPR038124']","['Retrovirus capsid, C-terminal', 'Zinc finger, CCHC-type superfamily', 'Beta-retroviral matrix superfamily']"
SST,,
FUT10,['IPR038577'],['GT10-like superfamily']
FDX2,"['IPR012675', 'IPR036010']","['Beta-grasp domain superfamily', '2Fe-2S ferredoxin-like superfamily']"
ARHGAP11A,['IPR008936'],['Rho GTPase activation protein']
TMEM35B,,
AHNAK2,['IPR036034'],['PDZ superfamily']
CLRN3,['IPR036034'],['PDZ superfamily']
DNAH10,"['IPR027417', 'IPR042219', 'IPR042222', 'IPR042228', 'IPR043160']","['P-loop containing nucleoside triphosphate hydrolase', 'Dynein heavy chain AAA lid domain superfamily', 'Dynein heavy chain, domain 2, N-terminal', 'Dynein heavy chain, domain 2, C-terminal', 'Dynein heavy chain, C-terminal domain, barrel region']"
C9orf24,,
TIAM2,"['IPR011993', 'IPR035899', 'IPR036034']","['PH-like domain superfamily', 'Dbl homology (DH) domain superfamily', 'PDZ superfamily']"
ANKRD18A,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
FMNL3,"['IPR016024', 'IPR042201']","['Armadillo-type fold', 'Formin, FH2 domain superfamily']"
PSME3,"['IPR036252', 'IPR036996', 'IPR036997']","['Proteasome activator superfamily', 'Proteasome activator PA28, N-terminal domain superfamily', 'Proteasome activator PA28, C-terminal domain superfamily']"
PPM1F,['IPR036457'],['PPM-type phosphatase domain superfamily']
SARS,"['IPR010978', 'IPR042103']","['Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm', 'Serine-tRNA synthetase, type1, N-terminal domain superfamily']"
B3GALNT2,"['IPR010978', 'IPR042103']","['Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm', 'Serine-tRNA synthetase, type1, N-terminal domain superfamily']"
PPFIBP2,['IPR013761'],['Sterile alpha motif/pointed domain superfamily']
HARS2,['IPR036621'],['Anticodon-binding domain superfamily']
C11orf65,['IPR036621'],['Anticodon-binding domain superfamily']
NUTM2D,,
PROCA1,,
PLEKHH2,,
FBXO15,,
ZNRF1,,
HAND2,,
CARS,"['IPR009080', 'IPR014729']","['Aminoacyl-tRNA synthetase, class Ia, anticodon-binding', 'Rossmann-like alpha/beta/alpha sandwich fold']"
AARS,"['IPR009000', 'IPR018162', 'IPR018163']","['Translation protein, beta-barrel domain superfamily', 'Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily', 'Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily']"
GAGE12E,,
DNM2,"['IPR011993', 'IPR027417']","['PH-like domain superfamily', 'P-loop containing nucleoside triphosphate hydrolase']"
CCDC50,,
AP1B1,"['IPR009028', 'IPR011989', 'IPR012295', 'IPR013037', 'IPR013041', 'IPR016024']","['Coatomer/calthrin adaptor appendage, C-terminal subdomain', 'Armadillo-like helical', 'TBP domain superfamily', 'Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain', 'Clathrin adaptor, appendage, Ig-like subdomain superfamily', 'Armadillo-type fold']"
METAP2,"['IPR036005', 'IPR036388', 'IPR036390']","['Creatinase/aminopeptidase-like', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
MSANTD4,,
LINC00346,,
SLC22A9,['IPR036259'],['MFS transporter superfamily']
CPO,,
ABCE1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
RAP2B,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
RAP1B,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
NTM-AS1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
MN1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
CPSF1,['IPR015943'],['WD40/YVTN repeat-like-containing domain superfamily']
NUDT2,['IPR015797'],['NUDIX hydrolase-like domain superfamily']
PNMA1,,
CCDC150,,
NAV3,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
NAV2,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
LRRN4CL,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
P3H2,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
P3H3,,
C15orf65,,
PHLDA2,['IPR011993'],['PH-like domain superfamily']
YPEL3,,
DBP,,
BST1,,
TEF,,
ZNF280C,,
KREMEN2,"['IPR013806', 'IPR035914', 'IPR038178']","['Kringle-like fold', 'Spermadhesin, CUB domain superfamily', 'Kringle superfamily']"
BST2,,
TNFSF10,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
NAXE,,
ELP2,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
GALNT11,"['IPR029044', 'IPR035992']","['Nucleotide-diphospho-sugar transferases', 'Ricin B-like lectins']"
SLAIN1,"['IPR029044', 'IPR035992']","['Nucleotide-diphospho-sugar transferases', 'Ricin B-like lectins']"
GLYCAM1,"['IPR029044', 'IPR035992']","['Nucleotide-diphospho-sugar transferases', 'Ricin B-like lectins']"
OR7C1,,
C3orf35,,
MAX,['IPR036638'],['Helix-loop-helix DNA-binding domain superfamily']
CAPN12,"['IPR011992', 'IPR038765']","['EF-hand domain pair', 'Papain-like cysteine peptidase superfamily']"
RPS3A,,
SLC44A4,,
ADAD2,,
GIMAP8,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
SLC41A1,['IPR036739'],"['SLC41 divalent cation transporters, integral membrane domain superfamily']"
GAGE12B,,
CCNY,['IPR036915'],['Cyclin-like superfamily']
CST7,,
JTB,,
SRP72,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
FGF18,['IPR008996'],['Cytokine IL1/FGF']
NOSTRIN,"['IPR027267', 'IPR036028']","['AH/BAR domain superfamily', 'SH3-like domain superfamily']"
RPL26,"['IPR008991', 'IPR014722']","['Translation protein SH3-like domain superfamily', 'Ribosomal protein L2, domain 2']"
SHISA6,,
BEST1,,
C1orf122,,
HNRNPCL3,['IPR012677'],['Nucleotide-binding alpha-beta plait domain superfamily']
SCGB1C2,['IPR035960'],['Secretoglobin superfamily']
CDR1,['IPR035960'],['Secretoglobin superfamily']
ATXN8OS,['IPR035960'],['Secretoglobin superfamily']
PPIAL4G,['IPR029000'],['Cyclophilin-like domain superfamily']
F5,"['IPR008972', 'IPR008979']","['Cupredoxin', 'Galactose-binding-like domain superfamily']"
CACNB2,"['IPR027417', 'IPR036028']","['P-loop containing nucleoside triphosphate hydrolase', 'SH3-like domain superfamily']"
WISP2,"['IPR009030', 'IPR036383']","['Growth factor receptor cysteine-rich domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
DFFB,,
TDGF1P3,,
PDE9A,['IPR036971'],"[""3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily""]"
SLC22A5,['IPR036259'],['MFS transporter superfamily']
RGS20,['IPR036305'],['RGS domain superfamily']
ZFAND5,,
MXI1,,
NCAM1,"['IPR013783', 'IPR036116', 'IPR036179']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'Immunoglobulin-like domain superfamily']"
GALNT6,"['IPR029044', 'IPR035992']","['Nucleotide-diphospho-sugar transferases', 'Ricin B-like lectins']"
TMEM116,"['IPR029044', 'IPR035992']","['Nucleotide-diphospho-sugar transferases', 'Ricin B-like lectins']"
APCDD1L,,
IGKV1-17,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
IGKV1-39,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
SERTAD4-AS1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
IGKV1-33,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
IGKV1D-33,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
JCHAIN,,
IREB2,"['IPR015928', 'IPR036008']","['Aconitase/3-isopropylmalate dehydratase, swivel', 'Aconitase, iron-sulfur domain']"
ATP5MC3,"['IPR035921', 'IPR038662']","['F/V-ATP synthase subunit C superfamily', 'F1F0 ATP synthase subunit C superfamily']"
ADORA3,,
KLHL12,['IPR015915'],['Kelch-type beta propeller']
TMIGD3,['IPR015915'],['Kelch-type beta propeller']
CASP5,['IPR011029'],['Death-like domain superfamily']
SFXN4,,
ETV1,"['IPR036388', 'IPR036390']","['Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
ERF,['IPR036390'],['Winged helix DNA-binding domain superfamily']
ICAM2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
HIKESHI,,
PEX5,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
IMPDH2,['IPR013785'],['Aldolase-type TIM barrel']
RNF8,"['IPR008984', 'IPR013083']","['SMAD/FHA domain superfamily', 'Zinc finger, RING/FYVE/PHD-type']"
PIP,"['IPR013783', 'IPR014756']","['Immunoglobulin-like fold', 'Immunoglobulin E-set']"
PDE5A,"['IPR029016', 'IPR036971']","['GAF-like domain superfamily', ""3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily""]"
PTHLH,,
CIAO1,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
SLC7A5P2,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
SNCG,,
CHI3L1,"['IPR017853', 'IPR029070']","['Glycoside hydrolase superfamily', 'Chitinase insertion domain superfamily']"
RLBP1,"['IPR036273', 'IPR036865']","['CRAL/TRIO, N-terminal domain superfamily', 'CRAL-TRIO lipid binding domain superfamily']"
ZNF485,['IPR036051'],['KRAB domain superfamily']
TPR,,
SLC16A11,,
IL2RA,['IPR035976'],['Sushi/SCR/CCP superfamily']
EPO,['IPR009079'],"['Four-helical cytokine-like, core']"
IL1B,['IPR008996'],['Cytokine IL1/FGF']
VASP,"['IPR038023', 'IPR042180']","['VASP tetramerisation domain superfamily', 'Intermediate filament, rod domain, coil 1B']"
MTRNR2L12,,
SRGAP2B,['IPR027267'],['AH/BAR domain superfamily']
CFTR,"['IPR027417', 'IPR036640']","['P-loop containing nucleoside triphosphate hydrolase', 'ABC transporter type 1, transmembrane domain superfamily']"
PRELP,['IPR032675'],['Leucine-rich repeat domain superfamily']
SLC25A6,['IPR023395'],['Mitochondrial carrier domain superfamily']
ASCL1,,
LUM,['IPR032675'],['Leucine-rich repeat domain superfamily']
SEC14L2,"['IPR036273', 'IPR036598', 'IPR036865']","['CRAL/TRIO, N-terminal domain superfamily', 'GOLD domain superfamily', 'CRAL-TRIO lipid binding domain superfamily']"
SLC25A4,['IPR023395'],['Mitochondrial carrier domain superfamily']
TM7SF2,,
STC2,,
SPRYD3,,
GVQW3,,
ARF3,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
COPS2,"['IPR011990', 'IPR036390']","['Tetratricopeptide-like helical domain superfamily', 'Winged helix DNA-binding domain superfamily']"
ARHGAP40,,
LINC00694,,
C1GALT1C1L,,
INAFM2,,
LINC01387,,
PPIAL4E,,
ORMDL2,,
CRYZ,"['IPR011032', 'IPR036291']","['GroES-like superfamily', 'NAD(P)-binding domain superfamily']"
ERC2-IT1,"['IPR011032', 'IPR036291']","['GroES-like superfamily', 'NAD(P)-binding domain superfamily']"
CYP4B1,['IPR036396'],['Cytochrome P450 superfamily']
NEURL1,['IPR043136'],['B30.2/SPRY domain superfamily']
